Month,BEV,PHEV
10-Dec,19,326
11-Jan,103,321
11-Feb,83,281
11-Mar,298,608
11-Apr,573,493
11-May,"1,150",481
11-Jun,"1,708",561
11-Jul,932,125
11-Aug,"1,363",302
11-Sep,"1,031",723
11-Oct,866,"1,108"
11-Nov,773,"1,139"
11-Dec,"1,212","1,529"
12-Jan,824,603
12-Feb,639,"1,023"
12-Mar,961,"3,200"
12-Apr,479,"3,116"
12-May,612,"2,766"
12-Jun,863,"2,455"
12-Jul,479,"2,537"
12-Aug,866,"3,878"
12-Sep,"1,306","4,503"
12-Oct,"2,240","4,994"
12-Nov,"2,614","4,544"
12-Dec,"2,704","4,965"
13-Jan,"2,372","2,354"
13-Feb,"2,666","2,789"
13-Mar,"4,553","3,079"
13-Apr,"4,403","2,735"
13-May,"4,545","3,209"
13-Jun,"4,573","4,169"
13-Jul,"3,943","3,499"
13-Aug,"4,956","6,407"
13-Sep,"3,650","4,477"
13-Oct,"3,733","6,367"
13-Nov,"3,930","4,903"
13-Dec,"4,770","5,020"
14-Jan,"2,971","2,934"
14-Feb,"3,324","3,721"
14-Mar,"4,578","4,594"
14-Apr,"4,187","4,718"
14-May,"5,802","6,651"
14-Jun,"4,982","6,511"
14-Jul,"5,693","5,740"
14-Aug,"6,483","5,920"
14-Sep,"5,983","3,357"
14-Oct,"5,927","3,735"
14-Nov,"6,176","3,609"
14-Dec,"7,419","3,867"
15-Jan,"3,977","2,113"
15-Feb,"4,435","2,589"
15-Mar,"5,715","3,020"
15-Apr,"6,037","2,962"
15-May,"7,057","4,416"
15-Jun,"6,975","3,409"
15-Jul,"5,143","3,836"
15-Aug,"5,224","3,786"
15-Sep,"6,704","3,038"
15-Oct,"5,740","4,081"
15-Nov,"6,103","4,275"
15-Dec,"7,954","5,483"
16-Jan,"3,576","3,137"
16-Feb,"4,424","3,909"
16-Mar,"7,115","5,319"
16-Apr,"6,266","5,842"
16-May,"6,526","5,619"
16-Jun,"7,678","6,113"
16-Jul,"7,762","6,525"
16-Aug,"8,601","6,372"
16-Sep,"10,032","6,037"
16-Oct,"5,408","5,943"
16-Nov,"6,266","7,858"
16-Dec,"13,077","10,211"
17-Jan,"5,398","5,669"
17-Feb,"5,846","6,247"
17-Mar,"10,171","7,384"
17-Apr,"5,961","7,300"
17-May,"8,038","8,645"
17-Jun,"8,814","7,787"
17-Jul,"7,802","7,407"
17-Aug,"8,850","7,668"
17-Sep,"13,421","7,719"
17-Oct,"6,792","6,665"
17-Nov,"8,435","8,408"
17-Dec,"14,959","10,289"
18-Jan,"9,154","6,241"
18-Feb,"6,653","8,783"
18-Mar,"11,060","11,601"
18-Apr,"12,794","9,931"
18-May,"12,232","11,403"
18-Jun,"12,997","10,485"
18-Jul,"15,387","9,269"
18-Aug,"20,222","10,132"
18-Sep,"24,163","10,777"
18-Oct,"29,937","9,937"
18-Nov,"24,089","11,580"
18-Dec,"28,374","13,744"
19-Jan,"26,942","6,010"
19-Feb,"10,644","6,610"
19-Mar,"17,281","8,074"
19-Apr,"20,113","5,908"
19-May,"18,012","7,949"
19-Jun,"23,421","7,999"
19-Jul,"23,559","7,197"
19-Aug,"18,864","8,433"
19-Sep,"21,812","5,816"
19-Oct,"23,072","6,388"
19-Nov,"11,421","7,733"
19-Dec,"18,681","7,674"
20-Jan,"26,391","5,104"
20-Feb,"11,151","6,111"
20-Mar,"18,234","3,481"
20-Apr,"8,058","2,015"
20-May,"8,626","3,911"
20-Jun,"16,809","4,206"
20-Jul,"23,075","5,228"
20-Aug,"17,291","6,478"
20-Sep,"28,101","6,670"
20-Oct,"29,959","7,755"
20-Nov,"22,225","7,369"
20-Dec,"28,620","10,721"
21-Jan,"25,103","7,463"
21-Feb,"26,215","9,046"
21-Mar,"40,755","12,261"
21-Apr,"33,547","18,604"
21-May,"29,796","20,807"
21-Jun,"45,913","16,648"
21-Jul,"42,013","15,669"
21-Aug,"35,499","14,067"
21-Sep,"42,020","12,554"
21-Oct,"42,485","18,275"
21-Nov,"46,687","14,170"
21-Dec,"49,441","16,553"
22-Jan,"42,780","11,983"
22-Feb,"46,859","12,563"
22-Mar,"64,160","16,200"
22-Apr,"52,537","17,875"
22-May,"52,502","15,263"
22-Jun,"74,262","14,838"
22-Jul,"64,310","13,932"
22-Aug,"59,836","13,797"
22-Sep,"69,811","13,415"
22-Oct,"71,739","17,603"
22-Nov,"69,924","16,183"
22-Dec,"79,262","19,759"
23-Jan,"72,944","15,593"
23-Feb,"81,158","17,789"
23-Mar,"89,648","20,540"
23-Apr,"92,631","23,355"
23-May,"92,897","25,134"
23-Jun,"100,745","23,181"
23-Jul,"99,259","23,840"
23-Aug,"92,277","28,148"
23-Sep,"101,719","29,632"
23-Oct,"90,509","22,037"
23-Nov,"102,323","24,530"
23-Dec,"121,647","41,121"
24-Jan,"84,542","25,723"
24-Feb,"81,946","28,259"
